Class,URL,X,Y,Width,Height,Location
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177478/HAW-4240_orthophoto_5_31.jpg,566,520,234,228,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177478/HAW-4240_orthophoto_5_31.jpg,555,879,281,121,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177701/HAW-4240_orthophoto_6_31.jpg,192,258,291,281,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177701/HAW-4240_orthophoto_6_31.jpg,508,6,368,121,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177701/HAW-4240_orthophoto_6_31.jpg,224,106,181,128,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177701/HAW-4240_orthophoto_6_31.jpg,401,543,166,144,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177702/HAW-4240_orthophoto_6_32.jpg,811,862,113,138,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177702/HAW-4240_orthophoto_6_32.jpg,864,629,136,194,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177702/HAW-4240_orthophoto_6_32.jpg,162,93,179,216,"Hawaii, HI, USA"
tripneustes_gratilla,https://colo.tator.io/fathomnet-public/52/153/10177704/HAW-4240_orthophoto_6_33.jpg,83,504,127,168,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177705/HAW-4240_orthophoto_6_34.jpg,363,201,512,311,"Hawaii, HI, USA"
diadema_paucispinum,https://colo.tator.io/fathomnet-public/52/153/10177706/HAW-4240_orthophoto_6_35.jpg,41,528,271,355,"Hawaii, HI, USA"
